가입일자,사용자코드,연령대코드,성별,가입 수,,
2021-02-01,USR_001,AGE_001,F,73,360903,44796
2021-02-01,USR_001,AGE_001,M,61,,
2021-02-01,USR_001,AGE_002,F,150,,
2021-02-01,USR_001,AGE_002,M,149,,
2021-02-01,USR_001,AGE_003,F,62,,
2021-02-01,USR_001,AGE_003,M,63,,
2021-02-01,USR_001,AGE_004,F,34,,
2021-02-01,USR_001,AGE_004,M,58,,
2021-02-01,USR_001,AGE_005,F,23,,
2021-02-01,USR_001,AGE_005,M,34,,
2021-02-01,USR_001,AGE_006,F,5,,
2021-02-01,USR_001,AGE_006,M,13,,
2021-02-01,USR_001,AGE_007,M,3,,
2021-02-01,USR_001,AGE_008,F,1,,
2021-02-01,USR_001,AGE_008,M,3,,
2021-02-02,USR_001,AGE_001,F,49,,
2021-02-02,USR_001,AGE_001,M,51,,
2021-02-02,USR_001,AGE_002,F,75,,
2021-02-02,USR_001,AGE_002,M,92,,
2021-02-02,USR_001,AGE_003,F,30,,
2021-02-02,USR_001,AGE_003,M,42,,
2021-02-02,USR_001,AGE_004,F,23,,
2021-02-02,USR_001,AGE_004,M,44,,
2021-02-02,USR_001,AGE_005,F,10,,
2021-02-02,USR_001,AGE_005,M,25,,
2021-02-02,USR_001,AGE_006,F,2,,
2021-02-02,USR_001,AGE_006,M,10,,
2021-02-02,USR_001,AGE_007,M,6,,
2021-02-02,USR_001,AGE_008,F,3,,
2021-02-02,USR_001,AGE_008,M,1,,
2021-02-03,USR_001,AGE_001,F,41,,
2021-02-03,USR_001,AGE_001,M,33,,
2021-02-03,USR_001,AGE_002,F,66,,
2021-02-03,USR_001,AGE_002,M,77,,
2021-02-03,USR_001,AGE_003,F,41,,
2021-02-03,USR_001,AGE_003,M,42,,
2021-02-03,USR_001,AGE_004,F,33,,
2021-02-03,USR_001,AGE_004,M,26,,
2021-02-03,USR_001,AGE_005,F,22,,
2021-02-03,USR_001,AGE_005,M,18,,
2021-02-03,USR_001,AGE_006,F,1,,
2021-02-03,USR_001,AGE_006,M,7,,
2021-02-04,USR_001,AGE_001,F,29,,
2021-02-04,USR_001,AGE_001,M,35,,
2021-02-04,USR_001,AGE_002,F,57,,
2021-02-04,USR_001,AGE_002,M,58,,
2021-02-04,USR_001,AGE_003,F,29,,
